Category,Category (copy),City,Country,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Row ID,Segment,Segment (Blues),Ship Date,Ship Mode,State,Sub-Category,Year,Bottom Half,Discount,Number of Records,Outer Venn Position,Overlapping Customers,Overlapping Position,Profit,Profit Ratio,Quantity,Sales
Furniture,Furniture,Henderson,United States,CG-12520,Claire Gute,8/11/2017,CA-2017-152156,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,South,1,Consumer,Consumer,11/11/2017,Second Class,Kentucky,Bookcases,2017,1,0,1,0,0,0,41.9136,16%,2,261.96
Furniture,Furniture,Henderson,United States,CG-12520,Claire Gute,8/11/2017,CA-2017-152156,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,2,Consumer,Consumer,11/11/2017,Second Class,Kentucky,Chairs,2017,1,0,1,0,0,0,219.582,30%,3,731.94
Office Supplies,Office Supplies,Los Angeles,United States,DV-13045,Darrin Van Huff,12/6/2017,CA-2017-138688,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,West,3,Corporate,Corporate,16-06-2017,Second Class,California,Labels,2017,1,0,1,0,1,0,6.8714,47%,2,14.62
Furniture,Furniture,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,11/10/2016,US-2016-108966,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,South,4,Consumer,Consumer,18-10-2016,Standard Class,Florida,Tables,2016,1,0.45,1,0,1,0,-383.031,-40%,5,957.5775
Office Supplies,Office Supplies,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,11/10/2016,US-2016-108966,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,South,5,Consumer,Consumer,18-10-2016,Standard Class,Florida,Storage,2016,1,0.2,1,0,1,0,2.5164,11%,2,22.368
Furniture,Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,9/6/2015,CA-2015-115812,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,6,Consumer,Consumer,14-06-2015,Standard Class,California,Furnishings,2015,1,0,1,0,1,0,14.1694,29%,7,48.86
Office Supplies,Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,9/6/2015,CA-2015-115812,90032,OFF-AR-10002833,Newell 322,West,7,Consumer,Consumer,14-06-2015,Standard Class,California,Art,2015,1,0,1,0,1,0,1.9656,27%,4,7.28
Technology,Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,9/6/2015,CA-2015-115812,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,West,8,Consumer,Consumer,14-06-2015,Standard Class,California,Phones,2015,1,0.2,1,0,1,0,90.7152,10%,6,907.152
Office Supplies,Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,9/6/2015,CA-2015-115812,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,West,9,Consumer,Consumer,14-06-2015,Standard Class,California,Binders,2015,1,0.2,1,0,1,0,5.7825,31%,3,18.504
Office Supplies,Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,9/6/2015,CA-2015-115812,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,West,10,Consumer,Consumer,14-06-2015,Standard Class,California,Appliances,2015,1,0,1,0,1,0,34.47,30%,5,114.9
